date,終値,始値,高値,close
2023-03-31,28041.48,28009.22,28124.62,27986.62
2023-04-03,28188.15,28203.35,28258.91,28120.71
2023-04-04,28287.42,28213.93,28287.42,28139.12
2023-04-05,27813.26,28111.04,28133.57,27788.77
2023-04-06,27472.63,27589.14,27609.86,27427.66
2023-04-07,27518.31,27554.37,27591.15,27456.25
2023-04-10,27633.66,27658.52,27737.49,27597.18
2023-04-11,27923.37,27895.9,28068.39,27854.82
2023-04-12,28082.7,27985.93,28121.46,27983.97
2023-04-13,28156.97,27952.58,28163.87,27952.01
2023-04-14,28493.47,28321.54,28515.51,28282.82
2023-04-17,28514.78,28537.99,28599.75,28414.98
2023-04-18,28658.83,28567.54,28698.22,28520.76
2023-04-19,28606.76,28619.84,28677.22,28531.54
2023-04-20,28657.57,28472.0,28694.25,28442.45
2023-04-21,28564.37,28590.55,28778.37,28527.8
2023-04-24,28593.52,28631.78,28680.65,28567.24
2023-04-25,28620.07,28697.73,28806.69,28609.77
2023-04-26,28416.47,28478.52,28551.61,28319.77
2023-04-27,28457.68,28340.59,28459.73,28241.67
2023-04-28,28856.44,28705.91,28879.24,28499.51
2023-05-01,29123.18,29058.05,29145.89,29016.83
2023-05-02,29157.95,29278.8,29278.8,29083.13
2023-05-08,28949.88,29095.46,29144.12,28931.81
2023-05-09,29242.82,29020.63,29262.36,29020.63
2023-05-10,29122.18,29189.41,29195.16,29070.11
2023-05-11,29126.72,29110.79,29165.59,29028.71
2023-05-12,29388.3,29199.3,29426.06,29141.52
2023-05-15,29626.34,29547.04,29629.47,29475.97
2023-05-16,29842.99,29838.01,29916.56,29779.07
2023-05-17,30093.59,29912.44,30115.32,29912.44
2023-05-18,30573.93,30432.54,30667.13,30381.9
2023-05-19,30808.35,30847.36,30924.57,30679.16
2023-05-22,31086.82,30735.71,31086.82,30689.27
2023-05-23,30957.77,31245.72,31352.53,30828.73
2023-05-24,30682.68,30728.69,30856.92,30566.83
2023-05-25,30801.13,30599.27,30889.98,30558.14
2023-05-26,30916.31,30909.61,31101.6,30864.49
2023-05-29,31233.54,31388.01,31560.43,31164.0
2023-05-30,31328.16,31196.24,31374.83,31064.19
2023-05-31,30887.88,31057.09,31142.78,30785.98
2023-06-01,31148.01,30886.01,31185.05,30853.44
2023-06-02,31524.22,31300.72,31555.54,31257.01
2023-06-05,32217.43,31864.12,32217.43,31798.72
2023-06-06,32506.78,31988.37,32534.47,31933.87
2023-06-07,31913.74,32618.78,32708.53,31913.74
2023-06-08,31641.27,31877.79,32035.95,31420.45
2023-06-09,32265.17,31927.38,32304.04,31898.75
2023-06-12,32434.0,32412.12,32517.68,32280.54
2023-06-13,33018.65,32668.95,33127.36,32638.21
2023-06-14,33502.42,33331.47,33665.52,33203.95
2023-06-15,33485.49,33493.69,33767.13,33386.01
2023-06-16,33706.08,33399.15,33772.76,33186.93
2023-06-19,33370.42,33768.69,33772.89,33231.56
2023-06-20,33388.91,33269.57,33474.74,33089.02
2023-06-21,33575.14,33200.63,33657.87,33154.68
2023-06-22,33264.88,33438.01,33641.46,33232.19
2023-06-23,32781.54,33458.35,33533.47,32575.56
2023-06-26,32698.81,32647.08,32884.73,32392.72
2023-06-27,32538.33,32629.96,32689.1,32306.99
2023-06-28,33193.99,32807.84,33193.99,32642.87
2023-06-29,33234.14,33306.84,33527.98,33185.2
2023-06-30,33189.04,33068.36,33232.89,32918.77
2023-07-03,33753.33,33517.6,33762.81,33510.55
2023-07-04,33422.52,33512.26,33576.45,33338.78
2023-07-05,33338.7,33165.06,33389.22,33041.14
2023-07-06,32773.02,33058.4,33079.45,32637.72
2023-07-07,32388.42,32450.64,32730.25,32327.9
2023-07-10,32189.73,32393.46,32558.98,32065.63
2023-07-11,32203.57,32434.67,32468.7,32084.42
2023-07-12,31943.93,32280.05,32312.03,31791.71
2023-07-13,32419.33,32106.05,32484.4,31952.98
2023-07-14,32391.26,32587.9,32780.63,32225.37
2023-07-18,32493.89,32457.18,32714.59,32338.3
2023-07-19,32896.03,32812.36,32896.03,32671.03
2023-07-20,32490.52,32803.35,32861.02,32462.86
2023-07-21,32304.25,32336.86,32462.44,32080.95
2023-07-24,32700.94,32648.14,32793.77,32554.46
2023-07-25,32682.51,32705.39,32715.56,32509.94
2023-07-26,32668.34,32704.96,32724.25,32488.52
2023-07-27,32891.16,32523.69,32938.59,32503.69
2023-07-28,32759.23,32444.42,32846.97,32037.55
2023-07-31,33172.22,33128.83,33402.08,33025.93
2023-08-01,33476.58,33292.31,33488.77,33203.88
2023-08-02,32707.69,33123.12,33158.58,32628.29
2023-08-03,32159.28,32375.85,32467.06,32142.25
2023-08-04,32192.75,32019.06,32294.7,31934.35
2023-08-07,32254.56,31921.28,32306.87,31830.23
2023-08-08,32377.29,32430.61,32539.88,32238.59
2023-08-09,32204.33,32346.32,32407.85,32175.64
2023-08-10,32473.65,32015.96,32504.85,32015.96
2023-08-14,32059.91,32456.72,32613.99,32031.54
2023-08-15,32238.89,32372.53,32403.93,32217.52
2023-08-16,31766.82,31965.58,31997.28,31766.82
2023-08-17,31626.0,31621.98,31704.08,31309.68
2023-08-18,31450.76,31321.26,31644.89,31275.25
2023-08-21,31565.64,31552.85,31758.7,31409.86
2023-08-22,31856.71,31792.6,31906.1,31693.76
2023-08-23,32010.26,31717.91,32039.6,31717.91
2023-08-24,32287.21,32130.52,32297.91,32063.14
2023-08-25,31624.28,31840.91,31885.53,31572.06
2023-08-28,32169.99,31915.68,32205.48,31881.93
2023-08-29,32226.97,32280.57,32389.12,32186.57
2023-08-30,32333.46,32432.95,32557.45,32300.56
2023-08-31,32619.34,32361.02,32692.76,32359.15
2023-09-01,32710.62,32521.15,32845.46,32499.44
2023-09-04,32939.18,32797.32,32939.18,32714.94
2023-09-05,33036.76,32941.41,33036.76,32784.32
2023-09-06,33241.02,33115.06,33282.15,33088.22
2023-09-07,32991.08,33118.55,33322.45,32986.35
2023-09-08,32606.84,32916.25,32920.43,32512.8
2023-09-11,32467.76,32690.54,32746.14,32391.69
2023-09-12,32776.37,32629.16,32799.69,32486.48
2023-09-13,32706.52,32742.29,32872.44,32616.65
2023-09-14,33168.1,32925.54,33244.45,32851.24
2023-09-15,33533.09,33428.44,33634.31,33391.46
2023-09-19,33242.59,33296.23,33337.23,33128.86
2023-09-20,33023.78,33261.35,33267.14,32988.65
2023-09-21,32571.03,32865.56,32939.89,32550.65
2023-09-22,32402.41,32189.32,32535.67,32154.53
2023-09-25,32678.62,32517.26,32722.22,32388.28
2023-09-26,32315.05,32640.05,32643.41,32315.05
2023-09-27,32371.9,32023.37,32371.9,31960.32
2023-09-28,31872.52,32119.37,32164.45,31674.42
