type,expiry,strike,oi,change
C,2610,35000,24,0
C,2610,42750,3,0
C,2610,45000,2,0
C,2610,47500,34,0
C,2610,50000,1,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,1,0
C,2610,59500,14,0
C,2610,60000,9,4
C,2610,60500,100,0
C,2610,61000,201,0
C,2610,62000,49,0
C,2610,63000,157,0
C,2610,63250,6,0
C,2610,63500,11,0
C,2610,63750,4,0
C,2610,63875,50,0
C,2610,64000,730,0
C,2610,64125,1,0
C,2610,64250,6,0
C,2610,64375,61,0
C,2610,64500,212,0
C,2610,64625,687,0
C,2610,64750,755,0
C,2610,64875,7,0
C,2610,65000,1412,0
C,2610,65125,4,0
C,2610,65250,21,1
C,2610,65375,6,0
C,2610,65500,223,-3
C,2610,65625,18,0
C,2610,65750,113,1
C,2610,65875,16,0
C,2610,66000,2982,17
C,2610,66125,35,0
C,2610,66250,85,0
C,2610,66375,96,0
C,2610,66500,290,105
C,2610,66625,66,0
C,2610,66750,181,-15
C,2610,66875,35,13
C,2610,67000,1508,26
C,2610,67125,36,8
C,2610,67250,24,0
C,2610,67375,82,7
C,2610,67500,703,-13
C,2610,67625,88,0
C,2610,67750,1062,-72
C,2610,67875,1,0
C,2610,68000,2141,-15
C,2610,68125,81,61
C,2610,68250,107,3
C,2610,68375,4,0
C,2610,68500,1236,49
C,2610,68750,149,0
C,2610,68875,159,13
C,2610,69000,2483,-48
C,2610,69125,0,-1
C,2610,69250,19,4
C,2610,69500,534,4
C,2610,69625,97,1
C,2610,69750,92,-1
C,2610,69875,114,7
C,2610,70000,2519,43
C,2610,70125,7,3
C,2610,70250,28,6
C,2610,70375,128,1
C,2610,70500,344,-2
C,2610,70625,24,2
C,2610,70750,13,2
C,2610,70875,1,0
C,2610,71000,1878,110
C,2610,71125,1,0
C,2610,71250,138,-2
C,2610,71500,366,-4
C,2610,71625,8,1
C,2610,71750,19,-1
C,2610,71875,2,0
C,2610,72000,3455,396
C,2610,72125,1,0
C,2610,72250,95,6
C,2610,72500,430,-2
C,2610,72750,24,1
C,2610,73000,1781,48
C,2610,73250,16,1
C,2610,73500,98,9
C,2610,73750,14,8
C,2610,74000,1073,24
C,2610,74250,37,-1
C,2610,74500,153,10
C,2610,74750,21,3
C,2610,75000,2428,-5
C,2610,75250,17,1
C,2610,75500,71,5
C,2610,75750,25,0
C,2610,76000,924,-5
C,2610,76250,45,0
C,2610,76500,70,0
C,2610,77000,1433,22
C,2610,77500,127,10
C,2610,78000,740,0
C,2610,78500,62,0
C,2610,79000,170,17
C,2610,79500,58,15
C,2610,80000,1929,12
C,2610,80500,49,-1
C,2610,81000,636,0
C,2610,81500,26,0
C,2610,82000,282,0
C,2610,82500,19,0
C,2610,83000,74,0
C,2610,83500,12,0
C,2610,84000,25,0
C,2610,84500,2,0
C,2610,85000,178,0
C,2610,87500,75,0
C,2610,90000,199,0
C,2610,92500,15,0
C,2610,95000,59,0
C,2610,97500,14,0
C,2610,100000,297,0
C,2611,44500,2,0
C,2611,50250,35,0
C,2611,56000,34,0
C,2611,57500,100,0
C,2611,58000,1,0
C,2611,60000,100,0
C,2611,60500,100,0
C,2611,61000,200,0
C,2611,62500,40,0
C,2611,63250,15,0
C,2611,63500,17,0
C,2611,64000,131,0
C,2611,64375,2,0
C,2611,64500,201,0
C,2611,64625,1,0
C,2611,65000,426,1
C,2611,65375,11,0
C,2611,65500,167,-5
C,2611,65750,1,0
C,2611,65875,50,0
C,2611,66000,514,5
C,2611,66125,4,0
C,2611,66500,1,-2
C,2611,66750,6,0
C,2611,67000,1436,201
C,2611,67500,940,1
C,2611,67750,35,0
C,2611,67875,2,0
C,2611,68000,510,0
C,2611,68375,16,0
C,2611,68500,14,0
C,2611,68750,10,0
C,2611,69000,3572,105
C,2611,69250,1,0
C,2611,69500,16,0
C,2611,69750,1,0
C,2611,69875,16,0
C,2611,70000,1056,24
C,2611,70250,4,0
C,2611,70500,30,0
C,2611,70750,4,0
C,2611,71000,627,2
C,2611,71125,2,0
C,2611,71250,5,0
C,2611,71500,357,1
C,2611,71625,8,0
C,2611,72000,570,51
C,2611,72125,11,11
C,2611,72250,8,6
C,2611,72500,609,1
C,2611,72750,0,0
C,2611,73000,140,12
C,2611,73500,10,0
C,2611,73750,2,0
C,2611,74000,146,30
C,2611,74250,1,0
C,2611,74500,118,1
C,2611,74750,0,0
C,2611,75000,407,4
C,2611,75250,1,1
C,2611,75500,77,0
C,2611,75750,1,0
C,2611,76000,80,38
C,2611,76250,1,0
C,2611,76500,283,1
C,2611,77000,133,3
C,2611,77500,2,1
C,2611,78000,144,-1
C,2611,78500,1,-1
C,2611,79000,44,5
C,2611,79500,13,2
C,2611,80000,181,12
C,2611,82500,125,0
C,2611,85000,135,12
C,2611,87500,170,20
C,2611,90000,248,40
C,2611,92500,1,0
C,2611,95000,28,0
C,2611,100000,93,0
C,2612,12500,84,0
C,2612,20000,150,0
C,2612,22000,100,0
C,2612,25000,300,0
C,2612,26000,350,0
C,2612,27000,250,0
C,2612,28000,75,0
C,2612,28500,125,0
C,2612,29000,150,0
C,2612,30000,2553,0
C,2612,30500,50,0
C,2612,31000,241,0
C,2612,31500,50,0
C,2612,32000,700,0
C,2612,32500,250,0
C,2612,33000,1950,0
C,2612,34000,280,0
C,2612,34500,400,0
C,2612,35000,435,0
C,2612,36000,975,0
C,2612,36500,252,0
C,2612,37000,450,0
C,2612,37500,88,0
C,2612,37750,100,0
C,2612,38000,1225,0
C,2612,38500,700,0
C,2612,38750,50,0
C,2612,39000,750,0
C,2612,39500,500,0
C,2612,40000,1200,0
C,2612,40500,400,0
C,2612,41000,1300,0
C,2612,41500,100,0
C,2612,42000,1071,0
C,2612,42500,250,0
C,2612,43000,1400,0
C,2612,43250,4,0
C,2612,43750,131,0
C,2612,44000,600,0
C,2612,45000,1842,0
C,2612,45250,413,0
C,2612,45500,200,0
C,2612,46000,2300,0
C,2612,46250,315,0
C,2612,47000,350,0
C,2612,47500,200,0
C,2612,48000,750,0
C,2612,49000,1000,0
C,2612,49500,260,0
C,2612,50000,5692,0
C,2612,50250,58,0
C,2612,50500,600,0
C,2612,50750,45,0
C,2612,51000,731,0
C,2612,52000,802,0
C,2612,52250,250,0
C,2612,52500,50,0
C,2612,53000,1135,0
C,2612,53500,106,0
C,2612,54000,1941,0
C,2612,54500,540,0
C,2612,55000,1829,0
C,2612,55500,300,0
C,2612,56000,791,0
C,2612,56500,283,0
C,2612,57000,500,0
C,2612,57250,113,0
C,2612,57500,80,0
C,2612,58000,2603,0
C,2612,58500,350,0
C,2612,59000,1900,0
C,2612,59500,100,0
C,2612,60000,7478,0
C,2612,60500,102,0
C,2612,61000,813,0
C,2612,61500,1,0
C,2612,62000,1850,0
C,2612,62500,812,0
C,2612,63000,1417,0
C,2612,63500,300,0
C,2612,63750,32,0
C,2612,64000,2242,0
C,2612,64500,296,0
C,2612,65000,3593,0
C,2612,65500,734,0
C,2612,65750,15,0
C,2612,66000,1042,0
C,2612,66250,15,0
C,2612,66500,2784,0
C,2612,67000,1737,150
C,2612,67250,25,0
C,2612,67500,25,0
C,2612,68000,4264,0
C,2612,68500,437,0
C,2612,69000,1646,0
C,2612,69250,50,0
C,2612,69750,158,0
C,2612,70000,5509,-452
C,2612,71000,1314,0
C,2612,71500,1,0
C,2612,71750,24,0
C,2612,72000,3760,550
C,2612,72250,2,0
C,2612,72500,2413,-500
C,2612,73000,805,0
C,2612,73500,400,0
C,2612,74000,1751,201
C,2612,74500,1,0
C,2612,74750,1,0
C,2612,75000,3725,-100
C,2612,75500,2,1
C,2612,76000,460,0
C,2612,76250,12,0
C,2612,77000,410,0
C,2612,77500,1055,0
C,2612,78000,387,2
C,2612,79000,209,0
C,2612,80000,7261,1
C,2612,81000,4,0
C,2612,82000,3,2
C,2612,82500,1126,0
C,2612,83000,121,0
C,2612,84000,523,0
C,2612,85000,1009,0
C,2612,87500,2457,0
